covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
PC_0,0.006966487826346959,1.0069908102504836,0.01382196265486499,-0.020124061172846052,0.03405703682553997,0.9800770762526152,1.0346436178327252,0.0,0.5040158189036148,0.6142502607963731,0.7031015297650353
PC_1,0.028884174790269827,1.0293053680604198,0.02063044560673473,-0.011550755583942827,0.06931910516448248,0.9885156982831163,1.0717781645330617,0.0,1.4000751772826807,0.16149080744418404,2.6304760502910116
PC_2,0.02394841117843588,1.024237477323185,0.035639753331061105,-0.04590422176833531,0.09380104412520707,0.9551334388016829,1.0983412027428576,0.0,0.6719578263063939,0.5016105452902322,0.9953604168470825
PC_3,0.047534776976506286,1.0486826704997287,0.0389050618789126,-0.02871774312246462,0.1237872970754772,0.971690692144155,1.1317751135186254,0.0,1.2218147120406249,0.22177770373215674,2.1728137624441994
PC_4,-0.09350230951680401,0.9107359140638728,0.054580535480877795,-0.20047819331623506,0.013473574282627035,0.8183393350982535,1.0135647519206339,0.0,-1.7131072220711794,0.08669281562692054,3.5279437498325517
PC_5,-0.025375056593434437,0.9749441842037876,0.06097445554099969,-0.14488279343073257,0.0941326802438637,0.8651236853478587,1.0987055127621372,0.0,-0.416158805655461,0.6772938013646997,0.5621463027048234
PC_6,-0.05405908695352822,0.9473761272787874,0.07518182599813787,-0.20141275820183557,0.09329458429477912,0.8175749011533648,1.0977850778829028,0.0,-0.7190446126550208,0.47211343222915625,1.082794564847985
PC_7,-0.01243713085927825,0.9876398906133501,0.07712952474446196,-0.1636082215031146,0.1387339597845581,0.8490746058991618,1.1488184274428705,0.0,-0.161249935099221,0.8718965531445888,0.1977711194246451
PC_8,0.014758106580586221,1.0148675451413973,0.08329387259154591,-0.14849488383171172,0.17801109699288414,0.8620044173188814,1.1948385802764558,0.0,0.17718117937626215,0.8593660784538742,0.21865526379858488
PC_9,0.011562575315944902,1.0116296802758984,0.09554071094935294,-0.17569377720213847,0.19881892783402827,0.8388748266058936,1.219961044910352,0.0,0.12102249607577586,0.9036732168655619,0.1461269302546266
PC_10,0.0755817909787268,1.078511436616625,0.10372608100664346,-0.12771759205177854,0.2788811740092322,0.8801018918215097,1.321650288133636,0.0,0.7286671803775747,0.4662052732383474,1.1009627720340798
PC_11,-0.03629440955139967,0.9643563359690098,0.10558815255017696,-0.24324338574386759,0.17065456664106823,0.7840806564926955,1.1860809663173184,0.0,-0.3437356244504047,0.7310451173938937,0.4519676481736573
PC_12,0.21566029259354458,1.240680838934551,0.10794228129890444,0.004097308838600461,0.42722327634848867,1.0041057142844416,1.5329949050198248,0.0,1.9979223155044938,0.045725082902286975,4.450870404106695
PC_13,-0.024523222881629794,0.9757750283473059,0.11679336399159475,-0.2534340099384327,0.20438756417517312,0.7761309601651154,1.2267735147991345,0.0,-0.20997102954748914,0.8336902840714564,0.2624165728742298
PC_14,-0.025416506458230587,0.9749037737366786,0.11003705359513268,-0.24108516846959432,0.19025215555313313,0.7857747003097187,1.2095545551051659,0.0,-0.23098134335500645,0.8173292959993333,0.2910106481069716
PC_15,0.03140351681915048,1.0319018096235855,0.11440149757771959,-0.19281929821062613,0.2556263318489271,0.8246309729689137,1.2912701312573316,0.0,0.27450267246559645,0.7836983501398748,0.3516296350619709
AGE,0.02025408831758743,1.0204605942041778,0.00549508559052837,0.009483918468186808,0.031024258166988047,1.0095290333320501,1.0315105261376174,0.0,3.685854930539841,0.00022793616948071384,12.099082506328028
STAGE,0.4426986905640478,1.5569031540499254,0.09907698078453196,0.24851137652939817,0.6368860045986975,1.2821154083099757,1.8905844320877008,0.0,4.4682295227264595,7.886965583476938e-06,16.952098222153015
