Model,Accuracy (Mean ± Std),Macro-F1 (Mean ± Std),Raw_F1
XGBoost,0.8753 ± 0.0214,0.8588 ± 0.0255,0.8587958585226776
Voting Ensemble,0.8764 ± 0.0141,0.8553 ± 0.0216,0.855319307368901
Random Forest,0.8481 ± 0.0235,0.8097 ± 0.0313,0.8096571185264377
Logistic Regression,0.8254 ± 0.0279,0.8090 ± 0.0367,0.8089850438577285
SVM RBF,0.8299 ± 0.0157,0.8042 ± 0.0167,0.8041561544211305
