rank,gene,variance_log2,mean_log2
173,SERPINB5,8.67097770779645,6.699086779955144
174,SLC44A4,8.66618097621499,9.945232694391139
175,ERBB4,8.660196245239618,8.402768441237061
176,SLC5A1,8.656832212415825,6.067489550331465
177,SLC7A4,8.642560816368603,3.6701089445451456
178,SFRP1,8.636984813503748,9.439116241888911
179,NBPF6,8.62222862651905,3.1301717087098346
180,ALB,8.611715338669928,3.8584821974168277
181,PON3,8.611504353233503,4.830734556206455
182,MMP1,8.611111301511377,6.825867688807574
183,COL17A1,8.604262663581585,7.3510952733175445
184,TRH,8.57821237107978,3.077257935709585
185,PLA2G2A,8.576429946605236,5.186675302621495
186,S100P,8.547732609160976,8.10985927505235
187,ROBO2,8.537796638085316,4.75941850070825
188,ORM2,8.533202001775035,2.6695318562695216
189,RIMS4,8.506319729467242,7.353405625015841
190,ZIC1,8.486432681724382,3.1119919930509634
191,CYP4F22,8.481253833376016,5.213967632943127
192,NEK10,8.42126577108015,5.654260464382718
193,PI16,8.405995249156017,5.129252709012733
194,TMC5,8.405405078292885,8.580421181551175
195,NCRNA00052,8.385400242109425,2.1478922740136084
196,ABCC13,8.385125139492187,2.5784346814231056
197,WIF1,8.382829793902502,2.5808895218063435
198,LPPR3,8.377486360504774,5.421383523019069
199,ROPN1,8.36744266100595,2.901267507550293
200,GLRA3,8.338033304514541,2.3352990111476757
201,INSM1,8.33283718211737,3.396748592419698
202,IL20,8.319660105875732,4.10216224847775
203,ELOVL2,8.283529598225666,7.691701815704748
204,LEP,8.27943101020187,3.847081153370711
205,CCL19,8.271615299622434,6.695492361479324
206,PI3,8.265127713981833,2.8777930614798315
207,SLC7A2,8.264431967256922,10.450727077550898
208,SLC9A2,8.249107681074126,4.8603870147238535
209,MS4A15,8.226169349047645,4.024703609887829
210,CAPN6,8.170909761144387,5.046386742157392
211,TSPAN8,8.16870460471684,3.12178465718573
212,HGD,8.154401822928568,5.559772009089746
213,ATP6V0A4,8.148488295282164,4.830892926531898
214,WDR72,8.148332281805972,3.3365129967672766
215,WFDC2,8.13899015399963,9.031998403225648
216,FAM3B,8.12654374360795,5.577324420203169
217,CHST8,8.124636320909662,5.530382716008077
218,PCAT18,8.11290500831422,4.273531585323795
219,FREM2,8.110023649205257,4.809693054769361
220,KNDC1,8.094227783451409,3.6416031844408083
221,ATP13A5,8.086077851120423,3.3891662982619097
222,NCCRP1,8.077147295666148,5.391230649518302
223,NKAIN1,8.054973288004229,8.028319695483603
