Model,Accuracy (Mean ˙ Std),Macro-F1 (Mean ˙ Std),Raw_F1
Random Forest,0.5839 ˙ 0.0118,0.3782 ˙ 0.0287,0.37820581627599126
SVM (RBF),0.4932 ˙ 0.0299,0.4096 ˙ 0.0414,0.40960841391054076
Logistic Regression,0.5658 ˙ 0.0200,0.4876 ˙ 0.0269,0.48759051739846077
XGBoost,0.6009 ˙ 0.0265,0.4452 ˙ 0.0413,0.445196707726624
Voting Ensemble,0.6088 ˙ 0.0237,0.4447 ˙ 0.0373,0.4447129554104288
